I1010 09:19:08.907594 139609244169984 logging_writer.py:48] [0] epoch=0, train/categorical_accuracy=0.9375, train/categorical_crossentropy=0.6008779406547546, train/f1_het=0.8333333730697632, train/f1_homalt=1.0, train/f1_homref=0.888888955116272, train/f1_macro=0.9074074625968933, train/f1_micro=0.9375, train/f1_weighted=0.9392361640930176, train/false_negatives=3.0, train/false_positives=0.0, train/learning_rate=9.999999747378752e-05, train/loss=0.6008785963058472, train/precision=1.0, train/precision_het=1.0, train/precision_homalt=1.0, train/precision_homref=1.0, train/recall=0.90625, train/recall_het=1.0, train/recall_homalt=1.0, train/recall_homref=0.699999988079071, train/true_negatives=64.0, train/true_positives=29.0
I1010 09:22:16.923679 139609244169984 logging_writer.py:48] [100] epoch=0, train/categorical_accuracy=0.9353125095367432, train/categorical_crossentropy=0.6193731427192688, train/f1_het=0.8507317304611206, train/f1_homalt=0.9756676554679871, train/f1_homref=0.9107232689857483, train/f1_macro=0.9123742580413818, train/f1_micro=0.9353125095367432, train/f1_weighted=0.9364905953407288, train/false_negatives=281.0, train/false_positives=152.0, train/learning_rate=0.00010900000052060932, train/loss=0.6193739771842957, train/precision=0.950504720211029, train/precision_het=0.8056074976921082, train/precision_homalt=0.9751965999603271, train/precision_homref=0.9920724630355835, train/recall=0.9121875166893005, train/recall_het=0.9773242473602295, train/recall_homalt=0.961240291595459, train/recall_homref=0.8096118569374084, train/true_negatives=6248.0, train/true_positives=2919.0
I1010 09:25:25.140072 139609244169984 logging_writer.py:48] [200] epoch=0, train/categorical_accuracy=0.948437511920929, train/categorical_crossentropy=0.6058887243270874, train/f1_het=0.8913260102272034, train/f1_homalt=0.9786827564239502, train/f1_homref=0.9316770434379578, train/f1_macro=0.9338952898979187, train/f1_micro=0.948437511920929, train/f1_weighted=0.9486322402954102, train/false_negatives=218.0, train/false_positives=132.0, train/learning_rate=0.00011799999629147351, train/loss=0.6058892607688904, train/precision=0.9576107859611511, train/precision_het=0.857421875, train/precision_homalt=0.9743589758872986, train/precision_homref=0.9817658066749573, train/recall=0.9318749904632568, train/recall_het=0.938034176826477, train/recall_homalt=0.9768637418746948, train/recall_homref=0.8698979616165161, train/true_negatives=6268.0, train/true_positives=2982.0
I1010 09:28:33.166136 139609244169984 logging_writer.py:48] [300] epoch=0, train/categorical_accuracy=0.9612500071525574, train/categorical_crossentropy=0.5917145013809204, train/f1_het=0.9390815496444702, train/f1_homalt=0.9817646741867065, train/f1_homref=0.9374030232429504, train/f1_macro=0.9527497291564941, train/f1_micro=0.9612500071525574, train/f1_weighted=0.961022675037384, train/false_negatives=169.0, train/false_positives=93.0, train/learning_rate=0.0001269999920623377, train/loss=0.591715395450592, train/precision=0.9702304601669312, train/precision_het=0.9406130313873291, train/precision_homalt=0.9775014519691467, train/precision_homref=0.9737130403518677, train/recall=0.9471874833106995, train/recall_het=0.9388145208358765, train/recall_homalt=0.9804037809371948, train/recall_homref=0.8952668905258179, train/true_negatives=6307.0, train/true_positives=3031.0
I1010 09:31:41.223047 139609244169984 logging_writer.py:48] [400] epoch=0, train/categorical_accuracy=0.9662500023841858, train/categorical_crossentropy=0.5868842601776123, train/f1_het=0.9361702799797058, train/f1_homalt=0.9894436597824097, train/f1_homref=0.939445436000824, train/f1_macro=0.9550197720527649, train/f1_micro=0.9662500023841858, train/f1_weighted=0.9660516977310181, train/false_negatives=142.0, train/false_positives=85.0, train/learning_rate=0.00013600000238511711, train/loss=0.5868849754333496, train/precision=0.9729557633399963, train/precision_het=0.9537892937660217, train/precision_homalt=0.9857142567634583, train/precision_homref=0.9589201807975769, train/recall=0.9556249976158142, train/recall_het=0.9100528955459595, train/recall_homalt=0.9913793206214905, train/recall_homref=0.914893627166748, train/true_negatives=6315.0, train/true_positives=3058.0
I1010 09:34:49.380816 139609244169984 logging_writer.py:48] [500] epoch=0, train/categorical_accuracy=0.9618750214576721, train/categorical_crossentropy=0.5918113589286804, train/f1_het=0.9442567825317383, train/f1_homalt=0.9826135635375977, train/f1_homref=0.9296969771385193, train/f1_macro=0.9521891474723816, train/f1_micro=0.9618750214576721, train/f1_weighted=0.9618373513221741, train/false_negatives=160.0, train/false_positives=96.0, train/learning_rate=0.0001449999981559813, train/loss=0.5918121933937073, train/precision=0.9693877696990967, train/precision_het=0.9581151604652405, train/precision_homalt=0.9852356910705566, train/precision_homref=0.942643404006958, train/recall=0.949999988079071, train/recall_het=0.9289340376853943, train/recall_homalt=0.9741718173027039, train/recall_homref=0.9130434989929199, train/true_negatives=6304.0, train/true_positives=3040.0
I1010 09:37:57.265811 139609244169984 logging_writer.py:48] [600] epoch=0, train/categorical_accuracy=0.9596874713897705, train/categorical_crossentropy=0.593336284160614, train/f1_het=0.945804238319397, train/f1_homalt=0.9804878234863281, train/f1_homref=0.9208173751831055, train/f1_macro=0.9490364193916321, train/f1_micro=0.9596874713897705, train/f1_weighted=0.9593037366867065, train/false_negatives=173.0, train/false_positives=104.0, train/learning_rate=0.0001539999939268455, train/loss=0.593336820602417, train/precision=0.9667837619781494, train/precision_het=0.9584086537361145, train/precision_homalt=0.9733260869979858, train/precision_homref=0.9568151235580444, train/recall=0.9459375143051147, train/recall_het=0.9249563813209534, train/recall_homalt=0.9802631735801697, train/recall_homref=0.8829389810562134, train/true_negatives=6296.0, train/true_positives=3027.0
I1010 09:41:05.196775 139609244169984 logging_writer.py:48] [700] epoch=0, train/categorical_accuracy=0.9681249856948853, train/categorical_crossentropy=0.5859020352363586, train/f1_het=0.9562289714813232, train/f1_homalt=0.9860609173774719, train/f1_homref=0.9267563819885254, train/f1_macro=0.956348717212677, train/f1_micro=0.9681249856948853, train/f1_weighted=0.9677176475524902, train/false_negatives=137.0, train/false_positives=84.0, train/learning_rate=0.0001630000042496249, train/loss=0.5859025120735168, train/precision=0.9733079075813293, train/precision_het=0.9567474126815796, train/precision_homalt=0.9773778915405273, train/precision_homref=0.9759615659713745, train/recall=0.9571874737739563, train/recall_het=0.9404761791229248, train/recall_homalt=0.9911366105079651, train/recall_homref=0.8775216341018677, train/true_negatives=6316.0, train/true_positives=3063.0
I1010 09:44:13.102993 139609244169984 logging_writer.py:48] [800] epoch=0, train/categorical_accuracy=0.9587500095367432, train/categorical_crossentropy=0.5939236283302307, train/f1_het=0.9398430585861206, train/f1_homalt=0.9814281463623047, train/f1_homref=0.9132866859436035, train/f1_macro=0.9448526501655579, train/f1_micro=0.9587500095367432, train/f1_weighted=0.958059549331665, train/false_negatives=158.0, train/false_positives=110.0, train/learning_rate=0.0001720000000204891, train/loss=0.5939242839813232, train/precision=0.9651015400886536, train/precision_het=0.9413854479789734, train/precision_homalt=0.9689119458198547, train/precision_homref=0.97420334815979, train/recall=0.9506250023841858, train/recall_het=0.9363957643508911, train/recall_homalt=0.9936237931251526, train/recall_homref=0.853723406791687, train/true_negatives=6290.0, train/true_positives=3042.0
I1010 09:47:20.973923 139609244169984 logging_writer.py:48] [900] epoch=0, train/categorical_accuracy=0.9693750143051147, train/categorical_crossentropy=0.5842160582542419, train/f1_het=0.9458333253860474, train/f1_homalt=0.9871984124183655, train/f1_homref=0.9332365989685059, train/f1_macro=0.9554228186607361, train/f1_micro=0.9693750143051147, train/f1_weighted=0.9691113829612732, train/false_negatives=128.0, train/false_positives=72.0, train/learning_rate=0.00018099999579135329, train/loss=0.5842166543006897, train/precision=0.9770992398262024, train/precision_het=0.9531915187835693, train/precision_homalt=0.9832429885864258, train/precision_homref=0.9751937985420227, train/recall=0.9599999785423279, train/recall_het=0.9471458792686462, train/recall_homalt=0.9890927076339722, train/recall_homref=0.8859155178070068, train/true_negatives=6328.0, train/true_positives=3072.0
I1010 09:50:28.896391 139609244169984 logging_writer.py:48] [1000] epoch=0, train/categorical_accuracy=0.9646875262260437, train/categorical_crossentropy=0.5886200070381165, train/f1_het=0.9385863542556763, train/f1_homalt=0.9837057590484619, train/f1_homref=0.9170023798942566, train/f1_macro=0.9464314579963684, train/f1_micro=0.9646875262260437, train/f1_weighted=0.9644131660461426, train/false_negatives=136.0, train/false_positives=92.0, train/learning_rate=0.00018999999156221747, train/loss=0.5886206030845642, train/precision=0.9708491563796997, train/precision_het=0.9545454382896423, train/precision_homalt=0.9786145687103271, train/precision_homref=0.9540033936500549, train/recall=0.9574999809265137, train/recall_het=0.9257540702819824, train/recall_homalt=0.9859485030174255, train/recall_homref=0.8832807540893555, train/true_negatives=6308.0, train/true_positives=3064.0
